what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426200884728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426200992670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426200992897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426200998527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201021160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201032744
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201034837
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1426201057308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201179258
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201391774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201436269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201439771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201448032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201459800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1426201471600
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426201480824
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426201523572
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1426201524970
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426201526938
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426201533746
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1426201535452
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426201536783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1426201538654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201546329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1426201566252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1426201593391
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1426201593963
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1426201596017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1426201606219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1426201649492
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1426201779749
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1426201804705
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1426201844900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1426201854795
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1426201862204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1426201932957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1426201940044
